model,window,ohlcv,technical_indicators,esg_news_sentiment,validation_ic,validation_sharpe,validation_mse,selected
Bi-GRU,10d,yes,yes,no,0.0428,0.962,0.000110,no
Bi-GRU,10d,yes,yes,yes,0.0465,1.058,0.000109,yes
Bi-GRU,20d,yes,yes,no,0.0399,0.903,0.000111,no
Bi-GRU,20d,yes,yes,yes,0.0427,0.972,0.000110,no
Bi-GRU,30d,yes,yes,no,0.0361,0.836,0.000113,no
Bi-GRU,30d,yes,yes,yes,0.0389,0.895,0.000114,no
Bi-LSTM,10d,yes,yes,no,0.0406,0.917,0.000112,no
Bi-LSTM,10d,yes,yes,yes,0.0431,0.981,0.000111,no
Bi-LSTM,20d,yes,yes,no,0.0374,0.861,0.000112,no
Bi-LSTM,20d,yes,yes,yes,0.0402,0.924,0.000114,no
Bi-LSTM,30d,yes,yes,no,0.0342,0.798,0.000115,no
Bi-LSTM,30d,yes,yes,yes,0.0369,0.859,0.000113,no
ExtraTrees,10d,yes,yes,no,0.0251,0.612,0.000118,no
ExtraTrees,10d,yes,yes,yes,0.0273,0.668,0.000116,no
ExtraTrees,20d,yes,yes,no,0.0229,0.566,0.000121,no
ExtraTrees,20d,yes,yes,yes,0.0250,0.621,0.000119,no
ExtraTrees,30d,yes,yes,no,0.0204,0.514,0.000124,no
ExtraTrees,30d,yes,yes,yes,0.0226,0.569,0.000125,no
LightGBM,10d,yes,yes,no,0.0298,0.704,0.000117,no
LightGBM,10d,yes,yes,yes,0.0327,0.771,0.000114,no
LightGBM,20d,yes,yes,no,0.0270,0.651,0.000120,no
LightGBM,20d,yes,yes,yes,0.0296,0.715,0.000119,no
LightGBM,30d,yes,yes,no,0.0241,0.594,0.000123,no
LightGBM,30d,yes,yes,yes,0.0268,0.657,0.000121,no
XGBoost,10d,yes,yes,no,0.0326,0.758,0.000115,no
XGBoost,10d,yes,yes,yes,0.0358,0.829,0.000112,no
XGBoost,20d,yes,yes,no,0.0299,0.706,0.000118,no
XGBoost,20d,yes,yes,yes,0.0324,0.773,0.000116,no
XGBoost,30d,yes,yes,no,0.0268,0.646,0.000121,no
XGBoost,30d,yes,yes,yes,0.0294,0.711,0.000122,no
